RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-04-06;DAPF21;BRBMEFDAP2R7;FINANCIAL;2,05;2,05;2,05;2,05;98442;;4;360
2020-04-06;DAPF22;BRBMEFDAP322;FINANCIAL;;;;;96498,02;;;
2020-04-06;DAPJ20;BRBMEFDAP348;FINANCIAL;;;;;99890,48;;;
2020-04-06;DAPK20;BRBMEFDAP2Z0;FINANCIAL;;;;;99495,92;;;
2020-04-06;DAPK21;BRBMEFDAP1K4;FINANCIAL;1,62;1,65;1,64;1,62;98217,19;;7;600
2020-04-06;DAPK23;BRBMEFDAP1G2;FINANCIAL;2,33;2,33;2,33;2,33;93136,05;;6;425
2020-04-06;DAPK25;BRBMEFDAP330;FINANCIAL;3,39;3,39;3,39;3,39;84411,34;;10;265
2020-04-06;DAPK35;BRBMEFDAP2L0;FINANCIAL;;;;;48256,75;;;
2020-04-06;DAPM20;BRBMEFDAP355;FINANCIAL;;;;;99072,04;;;
2020-04-06;DAPQ20;BRBMEFDAP0Z4;FINANCIAL;4,15;4,15;4,15;4,15;98569,73;;5;120
2020-04-06;DAPQ22;BRBMEFDAP116;FINANCIAL;2,16;2,16;2,16;2,16;95103,67;;10;580
2020-04-06;DAPQ24;BRBMEFDAP1F4;FINANCIAL;3,08;3,12;3,11;3,11;87550,31;;15;1590
2020-04-06;DAPQ26;BRBMEFDAP1L2;FINANCIAL;3,71;3,71;3,71;3,71;79362,31;;11;220
2020-04-06;DAPQ28;BRBMEFDAP280;FINANCIAL;3,95;3,99;3,95;3,99;72177,78;;11;430
2020-04-06;DAPQ30;BRBMEFDAP1E7;FINANCIAL;;;;;64511,07;;;
2020-04-06;DCOF21;BRBMEFDCO0Q2;FINANCIAL;;;;;98366,38;;;
2020-04-06;DCOF22;BRBMEFDCO0R0;FINANCIAL;;;;;96203,93;;;
2020-04-06;DCOF23;BRBMEFDCO0S8;FINANCIAL;;;;;94383,8;;;
2020-04-06;DCOF24;BRBMEFDCO0T6;FINANCIAL;;;;;92263,07;;;
2020-04-06;DCOF25;BRBMEFDCO0U4;FINANCIAL;;;;;89687,26;;;
2020-04-06;DCOF26;BRBMEFDCO156;FINANCIAL;;;;;87067,25;;;
2020-04-06;DCOF27;BRBMEFDCO1S6;FINANCIAL;;;;;84548,96;;;
2020-04-06;DCOF28;BRBMEFDCO1P2;FINANCIAL;;;;;82023,02;;;
2020-04-06;DCOF29;BRBMEFDCO1R8;FINANCIAL;;;;;79540,96;;;
2020-04-06;DCOF30;BRBMEFDCO1Q0;FINANCIAL;;;;;77130,74;;;
2020-04-06;DCOF31;BRBMEFDCO313;FINANCIAL;;;;;74566,6;;;
2020-04-06;DCOF33;BRBMEFDCO3D4;FINANCIAL;;;;;70603,33;;;
2020-04-06;DCOF35;BRBMEFDCO3C6;FINANCIAL;;;;;66621,76;;;
2020-04-06;DCOG21;BRBMEFDCO3E2;FINANCIAL;;;;;98177,66;;;
2020-04-06;DCOH21;BRBMEFDCO3F9;FINANCIAL;;;;;98073;;;
2020-04-06;DCOJ21;BRBMEFDCO214;FINANCIAL;;;;;97789,95;;;
2020-04-06;DCOJ22;BRBMEFDCO2B0;FINANCIAL;;;;;95665,17;;;
2020-04-06;DCOJ23;BRBMEFDCO2P0;FINANCIAL;;;;;93824,18;;;
2020-04-06;DCOJ24;BRBMEFDCO354;FINANCIAL;;;;;91795,15;;;
2020-04-06;DCOJ25;BRBMEFDCO3G7;FINANCIAL;;;;;89053,74;;;
2020-04-06;DCOK20;BRBMEFDCO347;FINANCIAL;;;;;99643,5;;;
2020-04-06;DCOM20;BRBMEFDCO362;FINANCIAL;;;;;99535,5;;;
2020-04-06;DCON20;BRBMEFDCO107;FINANCIAL;;;;;99396,88;;;
2020-04-06;DCON21;BRBMEFDCO115;FINANCIAL;;;;;97294,09;;;
2020-04-06;DCON22;BRBMEFDCO2D6;FINANCIAL;;;;;95373,74;;;
